,original_show,original_wikiurl,remake_show,remake_wikiurl,original_country,remake_country,original_imdburl,remake_imdburl,original_imdb-score,original_imdb-nvotes,original_imdb-nseasons,remake_imdb-score,remake_imdb-nvotes,remake_imdb-nseasons
36,Hostages,https://en.wikipedia.org/wiki/Hostages_(Israeli_TV_series),Hostages,https://en.wikipedia.org/wiki/Hostages_(U.S._TV_series),Israel,United States,{'https://www.imdb.com/title/tt3242480/'},{'https://www.imdb.com/title/tt2647258/'},7.6,1605.0,2.0,6.7,9674.0,1.0
37,House of Cards,https://en.wikipedia.org/wiki/House_of_Cards_(UK_TV_series),House of Cards,https://en.wikipedia.org/wiki/House_of_Cards_(U.S._TV_series),United Kingdom,United States,{'https://www.imdb.com/title/tt0098825/'},{'https://www.imdb.com/title/tt1856010/'},8.5,13486.0,1.0,8.7,475450.0,6.0
38,Hunted,https://en.wikipedia.org/wiki/Hunted_(2015_TV_series),Hunted,https://en.wikipedia.org/wiki/Hunted_(2017_TV_series),United Kingdom,United States,{'https://www.imdb.com/title/tt5038678/'},{'https://www.imdb.com/title/tt6340730/'},7.4,450.0,6.0,6.6,593.0,1.0
39,I'm a Celebrity...Get Me Out of Here!,https://en.wikipedia.org/wiki/I%27m_a_Celebrity...Get_Me_Out_of_Here!_(UK_TV_series),I'm a Celebrity... Get Me Out of Here!,https://en.wikipedia.org/wiki/I%27m_a_Celebrity...Get_Me_Out_of_Here!_(American_TV_series),United Kingdom,United States,{'https://www.imdb.com/title/tt0338616/'},{'https://www.imdb.com/title/tt0355096/'},5.8,2783.0,20.0,3.4,999.0,2.0
40,Iron Chef,https://en.wikipedia.org/wiki/Iron_Chef,Iron Chef America,https://en.wikipedia.org/wiki/Iron_Chef_America,Japan,United States,{'https://www.imdb.com/title/tt0220265/'},{'https://www.imdb.com/title/tt0441718/'},8.5,1091.0,7.0,7.1,1897.0,13.0
41,Juana la virgen,https://en.wikipedia.org/wiki/Juana_la_virgen,Jane the Virgin,https://en.wikipedia.org/wiki/Jane_the_Virgin,Venezuela,United States,{'https://www.imdb.com/title/tt0312151/'},"{'https://www.imdb.com/title/tt3566726/', 'https://www.imdb.com/title/tt12485636/'}",6.1,132.0,1.0,7.15,20707.5,
42,Juukou B-FighterB-Fighter Kabuto,https://en.wikipedia.org/wiki/Juukou_B-Fighter,Big Bad Beetleborgs,https://en.wikipedia.org/wiki/Big_Bad_Beetleborgs,Japan,United States,{'https://www.imdb.com/title/tt0185789/'},"{'https://www.imdb.com/title/tt0115674/', 'https://www.imdb.com/title/tt0126144/'}",8.4,9.0,1.0,6.4,1197.0,2.0
43,Kath & Kim,https://en.wikipedia.org/wiki/Kath_%26_Kim_(Australian_TV_series),Kath & Kim,https://en.wikipedia.org/wiki/Kath_%26_Kim_(U.S._TV_series),Australia,United States,{'https://www.imdb.com/title/tt0272397/'},"{'https://www.imdb.com/title/tt1254674/', 'https://www.imdb.com/title/tt0948539/'}",8.3,3590.0,4.0,4.9,2055.0,1.0
44,Keep it in the Family,https://en.wikipedia.org/wiki/Keep_It_in_the_Family_(1980_TV_series),Too Close for Comfort,https://en.wikipedia.org/wiki/Too_Close_for_Comfort,United Kingdom,United States,{'https://www.imdb.com/title/tt0080236/'},{'https://www.imdb.com/title/tt0080299/'},7.5,81.0,5.0,6.5,1904.0,6.0
45,King of Mask Singer,https://en.wikipedia.org/wiki/King_of_Mask_Singer,The Masked Singer,https://en.wikipedia.org/wiki/The_Masked_Singer_(U.S._TV_series),South Korea,United States,{'https://www.imdb.com/title/tt6289510/'},{'https://www.imdb.com/title/tt7670568/'},6.9,39.0,1.0,6.1,3273.0,6.0
46,Life on Mars,https://en.wikipedia.org/wiki/Life_on_Mars_(UK_TV_series),Life on Mars,https://en.wikipedia.org/wiki/Life_on_Mars_(U.S._TV_series),United Kingdom,United States,{'https://www.imdb.com/title/tt0478942/'},{'https://www.imdb.com/title/tt0787490/'},8.3,29403.0,2.0,7.4,9905.0,1.0
47,Little Britain,https://en.wikipedia.org/wiki/Little_Britain,Little Britain USA,https://en.wikipedia.org/wiki/Little_Britain_USA,United Kingdom,United States,{'https://www.imdb.com/title/tt0358856/'},{'https://www.imdb.com/title/tt0936458/'},7.6,22491.0,4.0,7.6,6191.0,1.0
48,MasterChef,https://en.wikipedia.org/wiki/MasterChef_(UK_TV_series),MasterChef,https://en.wikipedia.org/wiki/MasterChef_(U.S._TV_series),United Kingdom,United States,"{'https://www.imdb.com/title/tt0870973/', 'https://www.imdb.com/title/tt0805418/'}",{'https://www.imdb.com/title/tt1694423/'},6.199999999999999,595.5,16.0,7.3,7921.0,11.0
